model,split,parameters,task_a_macro_f1,task_b_label_map_50_95,task_b_class_agnostic_map_50_95,cider,spice,clipscore,task_c_composite,raw_weighted_score
Florence-2-base,valid,231414016,0.19472526272155802,0.03137692785878855,0.04923950847305538,1.0491100312705626,0.1950848909540077,0.7854143205705706,0.7137937759655985,0.2851064827496623
Florence-2-base,public_test,231414016,0.1554904269123939,0.011058289661535792,0.04875789152383951,0.9406480064819999,0.18559723685577836,0.779334096920018,0.6657386027255389,0.2507920247559941
Florence-2-base-ft,valid,231414016,0.15888058707599514,0.019826540709475458,0.03886122155221624,1.0430711526881884,0.1931497008935862,0.7598697330142643,0.7031342912476305,0.26653507978087787
Florence-2-base-ft,public_test,231414016,0.11945382619086252,0.006070325534075546,0.039598794579454796,0.9177741568211174,0.1823672916289845,0.7567913884303722,0.648857266746254,0.23292145809476517
Florence-2-large,valid,776465408,0.19975997733906853,0.03571852535306337,0.055331633208916674,1.114887189348388,0.2023001009371525,0.790014135228979,0.7436491465891946,0.2973101473197043
Florence-2-large,public_test,776465408,0.1672341888006699,0.013753137651219105,0.054070576908422784,0.9563297231968593,0.19115058290085293,0.7839337883590937,0.6750572006567277,0.2581886718977069
Florence-2-large-ft,valid,770173952,0.15924449508826813,0.01885077789334208,0.03979636792450054,1.1522363105864977,0.20465635496092957,0.777246973536036,0.7554655227836888,0.2819533165189239
Florence-2-large-ft,public_test,770173952,0.14940990673690935,0.006308485808138228,0.040943380885191706,0.9865266630572946,0.19443663119362628,0.7702877049257203,0.6840279660587218,0.25255475616194467
LFM2.5-VL-450M,valid,448718848,0.4459176165978873,0.003707229311541952,0.004265220872197335,0.6098936312522308,0.1537136288573698,0.7949064787443694,0.5285434847814141,0.2938212221384072
LFM2.5-VL-450M,public_test,448718848,0.37950934522156726,0.001649077077844644,0.007266028419012571,0.591248701314101,0.15964309501380766,0.7958628275528962,0.5231512572956516,0.2714578115863035
